instance_name,|V|,|E|,vars,clauses,t_encoding,t_solving,t_total,status,span,chi_T
1-Tetrahedron,4,6,80,270,0.0,0.14,0.36,optimal,5,5
10-The Icosahedron,12,30,504,2226,0.0,0.15,0.31,optimal,6,6
11-The Chvátal Graph,12,24,360,1404,0.0,0.15,0.31,optimal,5,5
12-The Bondy-Murty Graph G-3,14,21,280,945,0.0,0.15,0.31,optimal,4,4
13-The Bondy-Murty Graph G-4,16,15,248,713,0.0,0.15,0.3,optimal,4,4
14-The Ramsey Graph,17,68,1530,9095,0.01,0.12,0.36,optimal,9,9
15-The Dodecahedron,20,30,400,1350,0.0,0.16,0.32,optimal,4,4
16-the Mycielski 5 - Chromatic Graph,23,71,2256,11894,0.01,0.15,0.44,optimal,12,12
17-The Grünbaum Graph,25,50,750,2925,0.0,0.23,0.48,optimal,5,5
18-The Map of India,30,61,1820,7879,0.01,0.15,0.36,optimal,10,10
19-the Mycielski 6 - Chromatic Graph,47,236,14150,110392,0.04,5.01,5.26,timeout,UNKNOWN,UNKNOWN
2-The kuratowski Bipartie Graph,6,9,120,405,0.0,0.2,0.4,optimal,5,5
20-2-FullIns_3,52,201,8096,51027,0.04,0.2,0.62,optimal,16,16
21-3-FullIns_3,80,346,17892,126099,0.04,5.01,5.22,timeout,UNKNOWN,UNKNOWN
22-1-FullIns_4,93,593,46648,438288,0.19,5.01,5.51,timeout,UNKNOWN,UNKNOWN
23-the Mycielski 7 - Chromatic Graph,95,755,83300,1009775,0.5,5.0,6.19,timeout,UNKNOWN,UNKNOWN
24-4-FullIns_3,114,541,32750,255270,0.11,5.0,5.36,timeout,UNKNOWN,UNKNOWN
25-1-FullIns_5,282,3247,684626,11631912,6.32,5.01,18.97,timeout,UNKNOWN,UNKNOWN
26-3-FullIns_4,405,3524,675788,9276589,5.06,5.0,15.09,timeout,UNKNOWN,UNKNOWN
27-4-Fullins-4,690,6650,1776280,28264794,15.92,5.01,73.31,timeout,UNKNOWN,UNKNOWN
3-The Octahedron,6,12,180,702,0.0,0.93,1.28,optimal,5,5
4-The Bondy-Murty Graph,7,10,170,578,0.0,0.21,0.44,optimal,5,5
5-The Wheel Graph,8,12,320,1188,0.0,0.23,0.46,optimal,8,8
6-The Cube,8,14,220,808,0.0,0.28,0.59,optimal,5,5
7-The Petersen Graph,10,12,176,546,0.0,0.22,0.53,optimal,4,4
8-The Bondy-Murty Graph G2,11,15,468,1729,0.0,0.24,0.5,optimal,9,9
9-The Grötsch Graph,11,27,456,1996,0.0,0.19,0.45,optimal,6,6
