instance_name,|V|,|E|,vars,clauses,t_encoding,t_solving,t_total,status,span,delta,chi_T,
1-Tetrahedron,4,6,80,270,0,0.16,0.39,optimal,5,3,5,
10-The Icosahedron,12,30,504,2226,0,0.16,0.36,optimal,6,5,6,
11-The Chvátal Graph,12,24,360,1404,0,0.2,0.35,optimal,5,4,5,x
12-The Bondy-Murty Graph G-3,14,21,280,945,0,0.16,0.35,optimal,4,3,4,
13-The Bondy-Murty Graph G-4,16,15,248,713,0,0.15,0.31,optimal,4,3,4,
14-The Ramsey Graph,17,68,1530,9095,0.01,0.18,0.45,optimal,9,8,9,x
15-The Dodecahedron,20,30,400,1350,0,0.14,0.31,optimal,4,3,4,x
16-the Mycielski 5 - Chromatic Graph,23,71,2256,11894,0.01,0.09,0.33,optimal,12,11,12,
17-The Grünbaum Graph,25,50,750,2925,0,0.14,0.28,optimal,5,4,5,x
18-The Map of India,30,61,1820,7879,0.01,0.1,0.27,optimal,10,9,10,
19-the Mycielski 6 - Chromatic Graph,47,236,14150,110392,0.04,5.01,5.2,timeout,UNKNOWN,23,UNKNOWN,
2-The kuratowski Bipartie Graph,6,9,120,405,0,0.15,0.35,optimal,5,3,5,
20-2-FullIns_3,52,201,8096,51027,0.03,0.18,0.49,optimal,16,15,16,
21-3-FullIns_3,80,346,17892,126099,0.04,5,5.23,timeout,UNKNOWN,19,UNKNOWN,
22-1-FullIns_4,93,593,46648,438288,0.22,5,5.56,timeout,UNKNOWN,32,UNKNOWN,
23-the Mycielski 7 - Chromatic Graph,95,755,83300,1009775,0.45,5.01,6,timeout,UNKNOWN,47,UNKNOWN,
24-4-FullIns_3,114,541,32750,255270,0.09,5,5.38,timeout,UNKNOWN,23,UNKNOWN,
25-1-FullIns_5,282,3247,684626,11631912,6,5.01,19.45,timeout,UNKNOWN,95,UNKNOWN,
26-3-FullIns_4,405,3524,675788,9276589,5.36,5.01,14.73,timeout,UNKNOWN,84,UNKNOWN,
27-4-Fullins-4,690,6650,1776280,28264794,15.18,5.01,58.1,timeout,UNKNOWN,119,UNKNOWN,
3-The Octahedron,6,12,180,702,0,0.31,0.74,optimal,5,4,5,
4-The Bondy-Murty Graph,7,10,170,578,0,0.22,0.45,optimal,5,4,5,
5-The Wheel Graph,8,12,320,1188,0,0.21,0.41,optimal,8,7,8,
6-The Cube,8,14,220,808,0,0.2,0.46,optimal,5,4,5,o
7-The Petersen Graph,10,12,176,546,0,0.19,0.41,optimal,4,3,4,
8-The Bondy-Murty Graph G2,11,15,468,1729,0,0.14,0.32,optimal,9,8,9,
9-The Grötsch Graph,11,27,456,1996,0,0.14,0.27,optimal,6,5,6,
