instance_name,|V|,|E|,vars,clauses,t_encoding,t_solving,t_total,status,span,delta,chi_T
1-Tetrahedron,4,6,80,270,0.0,0.28,0.79,optimal,5,3,5
10-The Icosahedron,12,30,504,2226,0.01,0.22,0.47,optimal,6,5,6
11-The Chvátal Graph,12,24,360,1404,0.0,0.22,0.53,optimal,5,4,5
12-The Bondy-Murty Graph G-3,14,21,280,945,0.0,0.21,0.46,optimal,4,3,4
13-The Bondy-Murty Graph G-4,16,15,248,725,0.0,0.23,0.58,optimal,4,3,4
14-The Ramsey Graph,17,59,1368,7439,0.01,0.25,0.5,optimal,9,8,9
15-The Dodecahedron,20,30,400,1350,0.0,0.2,0.45,optimal,4,3,4
16-the Mycielski 5 - Chromatic Graph,23,71,2256,11894,0.02,0.15,0.6,optimal,12,11,12
17-The Grünbaum Graph,25,50,750,2925,0.0,0.22,0.48,optimal,5,4,5
18-The Map of India,30,61,1820,7879,0.01,0.27,0.65,optimal,10,9,10
19-the Mycielski 6 - Chromatic Graph,47,236,13584,105965,0.24,0.54,1.4,optimal,24,23,24
2-The kuratowski Bipartie Graph,6,9,120,405,0.0,0.36,0.72,optimal,5,3,5
20-2-FullIns_3,52,201,8096,51027,0.1,0.3,1.02,optimal,16,15,16
21-3-FullIns_3,80,346,17892,126099,0.11,24058.54,24058.96,timeout,UNKNOWN,19,UNKNOWN
22-1-FullIns_4,93,593,46648,438288,0.65,1800.01,1801.7,timeout,UNKNOWN,32,UNKNOWN
23-the Mycielski 7 - Chromatic Graph,95,755,83300,1009775,1.99,31852.23,31856.23,timeout,UNKNOWN,47,UNKNOWN
