instance_name,|V|,|E|,vars,clauses,t_encoding,t_solving,t_total,status,span,chi_T
chvatal,12,24,360,1404,0.0,0.15,0.38,optimal,5,5
complete_K12,12,66,1872,13962,0.01,30.06,30.3,timeout,13,UNKNOWN
cycle_C5,5,5,60,170,0.0,0.24,0.32,optimal,4,4
graph_1008,22,33,440,1485,0.0,0.15,0.31,optimal,4,4
graph_1012,22,33,440,1485,0.0,0.14,0.28,optimal,4,4
graph_1338,50,75,1000,3375,0.0,0.15,0.29,optimal,4,4
graph_1389,60,90,1200,4050,0.0,0.15,0.3,optimal,4,4
graph_1427,50,75,1000,3375,0.0,0.15,0.29,optimal,4,4
graph_20015,30,45,600,2025,0.0,0.14,0.29,optimal,4,4
graph_22470,38,57,760,2565,0.0,0.15,0.29,optimal,4,4
graph_25159,44,66,880,2970,0.0,0.15,0.31,optimal,4,4
graph_3334,26,39,520,1755,0.0,0.18,0.36,optimal,4,4
graph_3383,36,54,720,2430,0.0,0.16,0.3,optimal,4,4
graph_6630,22,31,424,1399,0.0,0.18,0.33,optimal,5,5
graph_6708,40,60,800,2700,0.0,0.18,0.36,optimal,5,5
graph_6710,40,60,800,2700,0.0,0.17,0.32,optimal,5,5
graph_6712,40,60,800,2700,0.0,0.16,0.31,optimal,5,5
graph_6714,40,60,800,2700,0.0,0.17,0.31,optimal,5,5
graph_6718,40,60,800,2700,0.0,0.17,0.32,optimal,5,5
graph_6720,40,60,800,2700,0.0,0.17,0.32,optimal,5,5
graph_6722,40,60,800,2700,0.0,0.17,0.32,optimal,5,5
graph_6724,40,60,800,2700,0.0,0.17,0.34,optimal,5,5
graph_6726,40,60,800,2700,0.0,0.18,0.34,optimal,5,5
graph_6728,40,60,800,2700,0.0,0.18,0.32,optimal,5,5
graph_6921,20,30,400,1350,0.0,0.15,0.32,optimal,4,4
petersen,10,15,200,675,0.0,0.15,0.29,optimal,4,4
tutte,46,69,920,3105,0.0,0.15,0.3,optimal,4,4
watkins,50,75,1000,3375,0.0,0.15,0.3,optimal,4,4
