graph,n,m,delta,chi_T,total_time_sec,detail
chvatal,12,24,4,5,0.22,k=5:SAT(0.22s)
complete_K12,12,66,11,UNKNOWN,5.19,k=12:TIMEOUT(5.19s)
cycle_C5,5,5,2,4,0.34,k=3:UNSAT(0.17s); k=4:SAT(0.17s)
graph_1008,22,33,3,4,0.19,k=4:SAT(0.19s)
graph_1012,22,33,3,4,0.23,k=4:SAT(0.23s)
graph_1338,50,75,3,4,0.23,k=4:SAT(0.23s)
graph_1389,60,90,3,4,0.18,k=4:SAT(0.18s)
graph_1427,50,75,3,4,0.16,k=4:SAT(0.16s)
graph_20015,30,45,3,4,0.17,k=4:SAT(0.17s)
graph_22470,38,57,3,4,0.17,k=4:SAT(0.17s)
graph_25159,44,66,3,4,0.14,k=4:SAT(0.13s)
graph_3334,26,39,3,4,0.14,k=4:SAT(0.14s)
graph_3383,36,54,3,4,0.12,k=4:SAT(0.12s)
graph_6630,22,31,3,5,0.33,k=4:UNSAT(0.17s); k=5:SAT(0.16s)
graph_6708,40,60,3,5,0.37,k=4:UNSAT(0.18s); k=5:SAT(0.19s)
graph_6710,40,60,3,5,0.34,k=4:UNSAT(0.2s); k=5:SAT(0.14s)
graph_6712,40,60,3,5,0.38,k=4:UNSAT(0.22s); k=5:SAT(0.16s)
graph_6714,40,60,3,5,0.38,k=4:UNSAT(0.2s); k=5:SAT(0.18s)
graph_6718,40,60,3,5,0.32,k=4:UNSAT(0.16s); k=5:SAT(0.17s)
graph_6720,40,60,3,5,0.37,k=4:UNSAT(0.22s); k=5:SAT(0.15s)
graph_6722,40,60,3,5,0.45,k=4:UNSAT(0.22s); k=5:SAT(0.23s)
graph_6724,40,60,3,5,0.36,k=4:UNSAT(0.19s); k=5:SAT(0.17s)
graph_6726,40,60,3,5,0.32,k=4:UNSAT(0.18s); k=5:SAT(0.14s)
graph_6728,40,60,3,5,0.34,k=4:UNSAT(0.2s); k=5:SAT(0.14s)
graph_6921,20,30,3,4,0.14,k=4:SAT(0.14s)
petersen,10,15,3,4,0.12,k=4:SAT(0.12s)
tutte,46,69,3,4,0.21,k=4:SAT(0.21s)
watkins,50,75,3,4,0.19,k=4:SAT(0.19s)
